Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,80369.03950321864,3142.2089600086797
0,2,56965.38955080852,3142.2089600086797
0,3,24590.85467680983,3142.2089600086797
0,4,8205.873614284352,3142.2089600086797
1,1,90755.56453181714,3142.2089600086797
1,2,74928.05809998492,3142.2089600086797
1,3,21141.51336265404,3142.2089600086797
1,4,8842.460065794994,3142.2089600086797
2,1,98996.51105333056,3142.2089600086797
2,2,71055.00705883463,3142.2089600086797
2,3,14257.202715124284,3142.2089600086797
2,4,8124.058806255694,3142.2089600086797
3,1,121395.17717529034,3142.2089600086797
3,2,71048.74403968657,3142.2089600086797
3,3,15799.883221063497,3142.2089600086797
3,4,8490.148757088193,3142.2089600086797
