Run,Chamber,Absorption,Rate,Rate Error,Compensation Status
285,0,1.0,39410673.11878609,53036.38438834374,off
285,1,1.0,39624078.39610589,53179.78417000894,off
285,2,1.0,39705800.48390896,53234.59584839135,off
285,3,1.0,39810433.30549786,53304.691667553816,off
286,0,1.0,39399101.89131928,59951.45778168573,on
286,1,1.0,39625065.85294098,60123.13048568791,on
286,2,1.0,39708901.49312279,60186.69880775877,on
286,3,1.0,39822293.98577349,60272.57192855754,on
287,0,1.0,39537044.767768025,34033.12513446674,on
287,1,1.0,39716947.829283975,34110.46670544038,on
287,2,1.0,39789864.083984055,34141.76401170583,on
287,3,1.0,39867116.05812793,34174.89103774292,on
288,0,1.0,39556541.01995565,57234.26940040965,on
288,1,1.0,39723159.03449333,57354.68234784639,on
288,2,1.0,39791893.106096834,57404.282091165616,on
288,3,1.0,39868908.39114656,57459.80684394344,on
289,0,1.0,39397778.09394676,51974.78458562613,off
289,1,1.0,39618768.78086576,52120.34966735468,off
289,2,1.0,39701528.86746559,52174.758657246726,off
289,3,1.0,39819737.97210362,52252.37465381293,off
290,0,1.0,39390735.85676609,54096.16159958152,off
290,1,1.0,39622302.29189109,54254.93622672246,off
290,2,1.0,39714423.68411277,54317.97065742248,off
290,3,1.0,39807882.32235058,54381.84544179068,off
291,0,1.0,39551603.83871513,51425.81912176194,on
291,1,1.0,39719501.655742615,51534.85564782637,on
291,2,1.0,39796596.90983767,51584.845785647325,on
291,3,1.0,39868677.29484589,51631.540399155456,on
292,0,22.0,10962954.856361149,28281.633395435445,off
292,1,22.0,10621650.706794346,27837.91364258873,off
292,2,22.0,10560510.715914274,27757.678179623057,off
292,3,22.0,11815047.879616965,29360.16003268505,off
293,0,22.0,11149292.076054117,24879.438092249904,on
293,1,22.0,10759444.653408043,24440.59919675241,on
293,2,22.0,10658846.030532127,24326.073550199835,on
293,3,22.0,11939535.342067242,25746.051511393223,on
294,0,460.0,3509773.833268164,15187.281408903182,on
294,1,460.0,898423.766072033,7683.889135876193,on
294,2,460.0,891589.1474141811,7654.606344482479,on
294,3,460.0,1064886.16088298,8365.503125047662,on
295,0,460.0,3466500.698077344,16098.37760763129,off
295,1,460.0,789995.5330526072,7685.086886103788,off
295,2,460.0,778033.8329212154,7626.683175486973,off
295,3,460.0,910733.9437538432,8251.487113947747,off
296,0,1.5,38612088.66800482,27410.986301435427,off
296,1,1.5,39085220.799210735,27578.41483869952,off
296,2,1.5,39274870.62033161,27645.242044976785,off
296,3,1.5,39535468.85596168,27736.80683057205,off
297,0,1.5,38906193.795164205,52642.9856657864,on
297,1,1.5,39295963.75823151,52906.02245262845,on
297,2,1.5,39465490.89860069,53020.02085507933,on
297,3,1.5,39655888.39700692,53147.761989705,on
298,0,2.2,34816328.46736557,46170.10168962581,off
298,1,2.2,35981895.354906455,46936.57155192215,off
298,2,2.2,36326171.3757418,47160.58236278012,off
298,3,2.2,37134237.34106011,47682.23458508148,off
299,0,2.2,35326579.54781166,48423.61613216674,on
299,1,2.2,36443293.92242274,49183.02486323117,on
299,2,2.2,36815996.68118648,49433.88062678056,on
299,3,2.2,37529076.95498859,49910.32120667014,on
300,0,3.3,31723230.78778428,42183.170631123074,off
300,1,3.3,33282644.850612946,43207.52896090167,off
300,2,3.3,33580773.90150803,43400.61310173638,off
300,3,3.3,34792305.2976102,44176.582629680684,off
301,0,3.3,32313172.18929642,56543.25595971775,on
301,1,3.3,33814126.98255647,57841.57435690332,on
301,2,3.3,34100169.19134453,58085.70736461716,on
301,3,3.3,35295689.0836953,59095.15120508454,on
302,0,4.6,25807109.357084744,38829.90446057632,off
302,1,4.6,27475706.45894892,40065.546859310496,off
302,2,4.6,27709637.229112227,40235.74628621709,off
302,3,4.6,29346100.983426493,41406.81678913753,off
303,0,4.6,26231344.24757396,30573.51368740656,on
303,1,4.6,27930573.38515771,31548.230517883327,on
303,2,4.6,28240913.88131409,31723.014740667408,on
303,3,4.6,29864170.3540907,32621.979233430025,on
304,0,10.0,17194954.776414987,30938.89065732145,off
304,1,10.0,18094499.82673223,31737.85049394975,off
304,2,10.0,18134024.36325833,31772.49471092928,off
304,3,10.0,19788710.734669283,33190.43685951035,off
305,0,10.0,17550173.010380626,103903.58115992986,on
305,1,10.0,18339407.92003076,106214.17264112271,on
305,2,10.0,18562091.503267974,106857.07199409588,on
305,3,10.0,20039061.899269518,111026.97532509382,on
306,0,33.0,9133617.052167363,25749.552407258478,off
306,1,33.0,8335816.629311362,24599.278031740407,off
306,2,33.0,8271135.994482909,24503.654801393168,off
306,3,33.0,9401341.1613114,26124.211511683327,off
307,0,33.0,9276543.665556127,26848.410969144614,on
307,1,33.0,8459860.324614145,25639.35447673505,on
307,2,33.0,8396841.277087605,25543.679847757718,on
307,3,33.0,9450292.852078134,27098.679207257697,on
308,0,46.0,7021056.707258494,20218.65376986139,off
308,1,46.0,5510784.539200759,17912.56216544149,off
308,2,46.0,5501002.908288476,17896.657724723365,off
308,3,46.0,6212907.677124666,19019.471505995785,off
309,0,46.0,6999954.417408903,22594.72716914447,on
309,1,46.0,5582882.825391327,20178.494095296872,on
309,2,46.0,5501490.550728866,20030.86395328284,on
309,3,46.0,6281062.25670292,21403.068658522225,on
310,0,100.0,4964643.062854484,19302.486527556397,off
310,1,100.0,2854671.637338577,14636.839919835147,off
310,2,100.0,2809267.663928044,14519.972811261225,off
310,3,100.0,3201167.745167385,15499.705952115368,off
311,0,100.0,4898880.704104085,19363.01358667301,on
311,1,100.0,2866009.757964221,14810.282775145906,on
311,2,100.0,2809834.49727351,14664.419923482248,on
311,3,100.0,3214158.614751746,15684.048287606563,on
